iter	MultiClass
795	0.9023144367
796	0.9021935801
797	0.9020771296
798	0.9019261332
799	0.9018210969
800	0.9017081602
801	0.9015304299
802	0.9013425515
803	0.9012196491
804	0.9010401382
805	0.9009304688
806	0.9007613111
807	0.9006324055
808	0.9005087827
809	0.9003744975
810	0.900217078
811	0.9000831869
812	0.8999041923
813	0.8998277745
814	0.8996972108
815	0.8995073013
816	0.8993560076
817	0.8992450968
818	0.899219971
819	0.8990696261
820	0.8989454703
821	0.898758303
822	0.8986676949
823	0.8985694635
824	0.8983196446
825	0.8981779973
826	0.8980441297
827	0.8979184728
828	0.8978099104
829	0.8976910277
830	0.8975546811
831	0.8974554767
832	0.8973061163
833	0.8971458082
834	0.89700531
835	0.8969696524
836	0.8968504547
837	0.8967310654
838	0.8965535381
839	0.8964055698
840	0.8962303847
841	0.8961020478
842	0.8959648807
843	0.8958531197
844	0.895672082
845	0.8955318663
846	0.8954152135
847	0.895234039
848	0.8951369542
849	0.8950222964
850	0.8949050601
851	0.8948182275
852	0.8947665756
853	0.8946853034
854	0.8945313965
855	0.8944011384
856	0.8943723317
857	0.8942357012
858	0.8941496942
859	0.8940507531
860	0.8939404424
861	0.8938411538
862	0.8937036347
863	0.8936643514
864	0.8935561324
865	0.8934162687
866	0.893241857
867	0.8930875646
868	0.8929560341
869	0.8929278243
870	0.8927956741
871	0.8926903668
872	0.8926149409
873	0.892468192
874	0.892287127
875	0.8921412462
876	0.8920186706
877	0.8918475105
878	0.8917371596
879	0.8916099157
880	0.8914251173
881	0.8913270736
882	0.891163151
883	0.8910292153
884	0.890918325
885	0.8907659061
886	0.8906247097
887	0.8905090719
888	0.8904209017
889	0.8902612326
890	0.8900857626
891	0.8899693917
892	0.8897980937
893	0.8897047122
894	0.8895296486
895	0.8894926849
896	0.8892953676
897	0.8891627593
898	0.8890713546
899	0.8889350743
900	0.8888368728
901	0.8887656855
902	0.8886277696
903	0.8885091302
904	0.8884120516
905	0.8882338501
906	0.8880745115
907	0.8880153894
908	0.8878893891
909	0.8878268853
910	0.8877508844
911	0.8876559893
912	0.8874989438
913	0.8873851723
914	0.8873108517
915	0.8872104706
916	0.887053804
917	0.8869612579
918	0.8868537364
919	0.8867632962
920	0.8867381381
921	0.8866217005
922	0.8864277312
923	0.8863000522
924	0.8861521729
925	0.8860098873
926	0.885925992
927	0.8858348213
928	0.8857033075
929	0.8855589055
930	0.8854846224
931	0.8853517352
932	0.8852783751
933	0.8851698913
934	0.8850437441
935	0.8849567295
936	0.8848558644
937	0.8847203492
938	0.8845884891
939	0.8844226562
940	0.8844041384
941	0.8843466991
942	0.8841834949
943	0.8841639711
944	0.8840702422
945	0.8839999536
946	0.8838349299
947	0.8836599595
948	0.883533976
949	0.8833445313
950	0.8833310986
951	0.8831735984
952	0.8830543944
953	0.8829684971
954	0.8828457134
955	0.8827174645
956	0.8826913065
957	0.8825613951
958	0.8823280036
959	0.882237369
960	0.8820228201
961	0.8818676585
962	0.8817248636
963	0.881575052
964	0.8815740146
965	0.8814666367
966	0.8813569787
967	0.881333221
968	0.8811507027
969	0.8811308349
970	0.8809969363
971	0.8808497808
972	0.8807036626
973	0.8805659229
974	0.8804999561
975	0.8803653183
976	0.8802455184
977	0.8801748443
978	0.8800725453
979	0.8799779819
980	0.8798689693
981	0.8796785619
982	0.8795387299
983	0.8793724974
984	0.8792733176
985	0.8791161874
986	0.8789635779
987	0.8788724266
988	0.8787041964
989	0.8785191953
990	0.8785181967
991	0.8784403037
992	0.878439318
993	0.8783248735
994	0.8782089315
995	0.8781199735
996	0.8780090739
997	0.877902322
998	0.8777619607
999	0.8776232701
